2295.8798,-56
2298.2641,-54
2300.4032,-52
2302.5152,-50
2304.6613,-48
2306.7926,-46
2308.9174,-44
2311.0307,-42
2313.1068,-40
2315.1103,-38
2317.0973,-36
2319.0467,-34
2321.0142,-32
2322.9924,-30
2324.8792,-28
2326.7546,-26
2328.6178,-24
2330.4501,-22
2332.26,-20
2334.0459,-18
2335.8242,-16
2337.5505,-14
2339.2614,-12
2340.9614,-10
2342.6212,-8
2344.2534,-6
2345.8779,-4
2347.4795,-2
2349.7851,2
2351.3613,4
2352.8702,6
2354.3514,8
2355.7663,10
2357.2365,12
2358.622,14
2360.0022,16
2361.3685,18
2362.6835,20
2363.9988,22
2365.2656,24
2366.5239,26
2367.7588,28
2368.9803,30
2370.1455,32
2371.3119,34
2372.4505,36
2373.549,38
2374.6307,40
2375.6929,42
2376.7302,44
2377.7375,46
2378.7215,48
2379.6689,50
2380.6059,52
2381.5024,54
2382.3845,56
2383.2439,58
2384.0921,60
2384.8837,62
