4334.9104,26,676,17576
4332.9505,25,625,15625
4330.8261,24,576,13824
4328.8231,23,529,12167
4326.4969,22,484,10648
4324.2078,21,441,9261
4321.9389,20,400,8000
4319.4899,19,361,6859
4316.9933,18,324,5832
4314.4536,17,289,4913
4311.8157,16,256,4096
4309.1114,15,225,3375
4306.3375,14,196,2744
4303.4791,13,169,2197
4300.5533,12,144,1728
4297.5594,11,121,1331
4294.4822,10,100,1000
4291.3564,9,81,729
4288.1351,8,64,512
4284.8669,7,49,343
4281.4943,6,36,216
4278.0818,5,25,125
4274.5951,4,16,64
4271.0289,3,9,27
4267.3832,2,4,8
4263.6623,1,1,1
4256.0452,-1,1,-1
4252.142,-2,4,-8
4248.1591,-3,9,-27
4244.1163,-4,16,-64
4236.9909,-5,25,-125
4235.7946,-6,36,-216
4231.5394,-7,49,-343
4227.2105,-8,64,-512
4222.7986,-9,81,-729
4218.3435,-10,100,-1000
4213.8126,-11,121,-1331
4209.1988,-12,144,-1728
4204.5224,-13,169,-2197
4199.7892,-14,196,-2744
4194.9728,-15,225,-3375
4190.1035,-16,256,-4096
4185.1564,-17,289,-4913
4180.1419,-18,324,-5832
4175.0908,-19,361,-6859
4169.8825,-20,400,-8000
4164.7181,-21,441,-9261
4159.3053,-22,484,-10648
4154.0922,-23,529,-12167
