2380.95,1
2380.06,2
2379.11,3
2378.1,4
2377.09,5
2376.08,6
2375,7
2373.93,8
2372.85,9
2371.72,10
2370.51,11
2369.38,12
2368.18,13
2366.91,14
2365.65,15
2364.38,16
2363.05,17
2361.73,18
2360.4,19
2359.01,20
2357.62,21
2356.16,22
2354.71,23
2353.25,24
2351.74,25
2350.15,26
2347.88,-1
2346.23,-2
2344.65,-3
2343.01,-4
2341.37,-5
2339.66,-6
2337.95,-7
2336.18,-8
2334.41,-9
2332.64,-10
2330.81,-11
2328.97,-12
2327.14,-13
2325.24,-14
2323.34,-15
2321.38,-16
2319.42,-17
2317.46,-18
2315.5,-19
2313.48,-20
2311.39,-21
2309.31,-22
2307.16,-23
2305.01,-24
