4333.0659,25
4330.8447,24
4328.7736,23
4326.521,22
4324.2745,21
4321.8801,20
4319.4721,19
4317.0074,18
4314.442,17
4311.8159,16
4309.105,15
4306.3107,14
4303.4739,13
4300.545,12
4297.5499,11
4294.4871,10
4291.3531,9
4288.1284,8
4284.8545,7
4281.5004,6
4278.0818,5
4274.5896,4
4271.0212,3
4267.3857,2
4263.6735,1
4256.0773,-1
4252.1446,-2
4248.1638,-3
4244.1112,-4
4239.9915,-5
4235.7906,-6
4231.5313,-7
4227.2067,-8
4222.7967,-9
4218.3413,-10
4213.7993,-11
4209.2069,-12
4204.5218,-13
4199.766,-14
4194.9725,-15
4190.0843,-16
4185.1403,-17
4180.1238,-18
4175.0573,-19
4169.8968,-20
4164.7216,-21
4159.3272,-22
4154.2311,-23
