2246.9376,32,,,,,
2244.3155,31,,,,,
2241.5846,30,,,,,
2238.8475,29,,,,,
2236.0978,28,,,,,
2233.2738,27,,,,,
2230.4385,26,,,,,
2227.5435,25,,,,,
2224.6181,24,,,,,
2221.6471,23,,,,,
2218.6471,22,,,,,
2215.6132,21,,,,,
2212.5248,20,,,,,
2209.4104,19,,,,,
2206.2566,18,,,,,
2203.0682,17,,,,,
2199.8418,16,,,,,
2196.5737,15,,,,,
2193.2595,14,,,,,
2189.9206,13,,,,,
2186.5408,12,,,,,
2183.1285,11,,,,,
2179.676,10,,,,,
2176.1911,9,,,,,
2172.6597,8,,,,,
2169.1097,7,,,,,
2165.5046,6,,,,,
2161.876,5,,,,,
2158.2133,4,,,,,
2154.5029,3,,,,,
2150.7572,2,,,,,
2147.0008,1,,,,,
2139.3391,-1,,,,,
2135.4581,-2,,,,,
2131.5329,-3,,,,,
2127.5971,-4,,,,,
2123.6136,-5,,,,,
2119.5972,-6,,,,,
2115.5308,-7,,,,,
2111.4574,-8,,,,,
2107.3347,-9,,,,,
2103.1739,-10,,,,,
2098.997,-11,,,,,
2094.7663,-12,,,,,
2090.5111,-13,,,,,
2086.2357,-14,,,,,
2081.9057,-15,,,,,
2077.5129,-16,,,,,
2073.2249,-17,,,,,
2068.7582,-18,,,,,
2064.3233,-19,,,,,
2059.8326,-20,,,,,
2055.3131,-21,,,,,
2050.7634,-22,,,,,
2046.13,-23,,,,,
2041.5864,-24,,,,,
2036.9581,-25,,,,,
2032.2582,-26,,,,,
2027.5591,-27,,,,,
2022.8184,-28,,,,,
2018.0929,-29,,,,,
2013.2491,-30,,,,,
2008.4946,-31,,,,,
