2241.6344,30
2238.8144,29
2236.0443,28
2233.2493,27
2230.4542,26
2227.5593,25
2224.6053,24
2221.6545,23
2218.6422,22
2215.6167,21
2212.5252,20
2209.4142,19
2206.2538,18
2203.067,17
2199.8372,16
2196.574,15
2193.2622,14
2189.9189,13
2186.5443,12
2183.1276,11
2179.6763,10
2176.1903,9
2172.6621,8
2169.111,7
2165.5047,6
2161.8774,5
2158.2121,4
2154.5015,3
2150.759,2
2147.0047,1
2139.3385,-1
2135.4553,-2
2131.5339,-3
2127.5937,-4
2123.6143,-5
2119.5917,-6
2115.5312,-7
2111.4522,-8
2107.3378,-9
2103.1751,-10
2098.9981,-11
2094.7692,-12
2090.5136,-13
2086.2418,-14
2081.909,-15
2077.5206,-16
2073.2214,-17
2068.7599,-18
2064.3179,-19
2059.8293,-20
2055.3031,-21
2050.7689,-22
2046.1415,-23
2041.5805,-24
2037.0299,-25
